Year,All Buffalo schools,Bennett High School,Burgard High School,City Honors School,Leonardo daVinci High School,East High School,Emerson School of Hospitality,Hutchinson Central Technical High School,International Preparatory School at Grover,Lafayette High School,McKinley High School,Middle Early College High School,Math Science Technology Preparatory School,Frederick Law Olmsted,Buffalo Academy for Visual and Performing Arts,Riverside Institute of Technology,South Park High School
2010,0.556694427,0.470149254,0.333333333,0.858490566,0.771428571,0.465346535,0.53164557,0.68487395,,0.393162393,0.525139665,0.885245902,0.553191489,,0.676190476,0.354166667,0.386666667
2011,0.622280817,0.565217391,0.529411765,0.855855856,0.76,0.583333333,0.390804598,0.786885246,0.604651163,0.486486486,0.488888889,0.896551724,0.673913043,,0.623931624,0.588235294,0.431654676
2012,0.574074074,0.487804878,0.409090909,0.910891089,0.777777778,0.243243243,0.417475728,0.696035242,0.52,0.428571429,0.430939227,0.916666667,1,0.928571429,0.691489362,0.514285714,0.326086957
2013,0.685400517,0.541284404,0.5,0.935185185,0.879120879,0.565217391,0.674157303,0.742857143,0.808510638,0.547619048,0.652173913,0.923076923,0.588235294,0.9375,0.787234043,0.529411765,0.5
2014,0.657910448,0.586956522,0.481481481,0.857142857,0.888888889,0.487179487,0.543478261,0.786324786,0.710526316,0.509433962,0.615384615,0.907692308,0.673076923,0.877192982,0.745614035,0.529411765,0.494680851
2015,0.671328671,0.602272727,0.557894737,0.9375,0.823529412,0.519230769,0.583333333,0.790598291,0.652173913,0.480769231,0.609625668,0.777777778,0.558139535,0.857142857,,0.708860759,0.455696203
